pattern_name,description,red_flags,risk_level
Fraudulent Pension Refund Check,Checks sent claiming to be pension refunds that are fake.,"Unexpected pension refund check,Request for processing fees",high
Fake Government Refund Check,Checks sent claiming to be government refunds that are fake.,"Unexpected government refund check,Request to return part of the funds",medium
Phony Real Estate Refund Check,Checks sent for real estate refunds that are fake.,"Check for unseen property,Request for deposit",high
Fraudulent Charity Refund Check,Checks sent claiming to be charity refunds that are fake.,"Unexpected charity refund check,Request to return part of the funds",medium
Fake Business Payment Check,Checks sent claiming to be business payments that are fake.,"Unexpected business payment check,Request to return part of the funds",medium
Phony Loan Payment Check,Checks sent claiming to be loan payments that are fake.,"Unexpected loan payment check,Request for upfront fees",high
Fraudulent Subscription Payment Check,Checks sent claiming to be subscription payments that are fake.,"Unexpected subscription payment check,Request to return part of the funds",medium
Fake Medical Refund Check,Checks sent claiming to be medical refunds that are fake.,"Unexpected medical refund check,Request for processing fees",medium
Phony Investment Payment Check,Checks sent claiming to be investment payments that are fake.,"Unexpected investment payment check,Request to return part of the funds",high
Fraudulent Utility Refund Check,Checks sent claiming to be utility refunds that are fake.,"Unexpected utility refund check,Request to return part of the funds",medium
Fake Tax Payment Check,Checks sent claiming to be tax payments that are fake.,"Unexpected tax payment check,Request to return part of the funds",high
Phony Pension Payment Check,Checks sent claiming to be pension payments that are fake.,"Unexpected pension payment check,Request for processing fees",high
Fraudulent Government Refund Check,Checks sent claiming to be government refunds that are fake.,"Unexpected government refund check,Request to return part of the funds",medium
Fake Real Estate Payment Check,Checks sent for real estate payments that are fake.,"Check for unseen property,Request for deposit",high
Phony Charity Payment Check,Checks sent claiming to be charity payments that are fake.,"Unexpected charity payment check,Request to return part of the funds",medium
Fraudulent Business Refund Check,Checks sent claiming to be business refunds that are fake.,"Unexpected business refund check,Request to return part of the funds",medium
Fake Loan Refund Check,Checks sent claiming to be loan refunds that are fake.,"Unexpected loan refund check,Request for upfront fees",high
Brokerage Account Scam,Scammers impersonate brokers and convince victims to write checks for fake investments.,"Unlicensed brokers, promises of guaranteed high returns.",High
Counterfeit Goods Purchase,"Consumers are tricked into buying counterfeit products, often paying by check.","Suspiciously low prices, unverified sellers.",High
Fake Bail Bonds,Scammers claim a relative is in jail and request payment via check for bail bonds.,"Urgent requests for bail money, callers impersonating law enforcement.",High
Employment Scam,Job seekers are told they need to pay for training or supplies with a check.,"Jobs requiring upfront payment for training or materials, vague job details.",High
Check Kiting,Individuals open multiple bank accounts and use the float time of checks to create false balances.,"Rapidly moving funds between accounts, multiple accounts in different banks.",High
Landlord Overpayment Scam,Prospective tenants overpay their supposed landlords and request the excess be returned.,"Tenant unable to visit property, overpayment requested to be refunded.",High
Phishing Scams Leading to Check Fraud,Victims are tricked into revealing financial information leading to unauthorized checks.,"Phishing emails or calls, unusual account activity.",High
False Billing,Companies are invoiced for non-existent advertising or directory listings.,"Invoices for unfamiliar services, high-pressure sales tactics.",Medium
Check Theft and Alteration,Checks are stolen from mailboxes or offices and amounts are altered before deposit.,"Altered check amounts, checks missing from sequence.",High
Fake Debt Relief,Scammers promise to negotiate debt for a fee paid upfront by check.,"Promises of debt reduction, upfront fees required.",High
Legal Settlement Scam,Fraudsters claim to represent law firms offering to settle fake lawsuits if a fee is paid by check.,"Demands for payment to settle out-of-court, unverified attorney contacts.",High
Fake Licensing Fees,Businesses are asked to pay licensing fees by check for compliance with non-existent regulations.,"Requests tied to unfamiliar regulatory bodies, lack of official documentation.",Medium
Charity Event Ticket Scam,"Tickets for fake charity events are sold, with payments often made by check.","High-ticket prices for charity, no details about the event’s organization.",High
Investment Seminar Scam,Attendees pay by check for seminars that promise investment tips but provide no real value.,"High fees, promises of exclusive investment opportunities.",High
Phony Contracting License,"Individuals pay for contracting licenses from fake institutions, often through checks.","Licenses from unverified institutions, immediate payment requests.",High
Check Fraud in Property Sale,Fraudsters posing as sellers or buyers of properties engage in transactions involving fraudulent checks.,"Rushed transactions, unusual payment methods.",High
Insurance Claim Fraud,Checks are issued based on exaggerated or completely fabricated insurance claims.,"Suspiciously high claims, lack of proper documentation.",High
Fake Lottery Winnings,Victims are told they’ve won a lottery and must pay taxes or fees by check to claim the winnings.,"Notification of lottery win without entry, upfront payment required.",High
Rent-to-Own Scam,Potential renters pay initial deposits by check under schemes that offer eventual home ownership but don't deliver.,"Upfront cash requirements, lack of clear ownership documents.",High
Fake Online Sales,"Sellers receive checks for goods sold online, but the checks bounce after the goods are shipped.","Buyer insists on paying by check, checks bounce or are fraudulent.",High
